Model,RMSE,MSE,MAE,R-AUC MSE,Mean Uncertainty,Coverage@80,Coverage@90,Coverage@95,Rejection Ratio (%),Rejection AUC,F-Beta AUC,F-Beta@95,ΔRMSE_vs_HMTL,ΔR-AUC_vs_HMTL
single_mlp,0.9081257238644529,0.8246923303443366,0.6924982624300617,0.8843249278089527,0.9009682536125183,0.0,0.0,0.0,0.5114934252221529,0.4108996180554042,0.4320615949689842,0.6666666666214824,0.05470925947126026,0.23896532877466659
flat_mtl,0.866032724256504,0.750012679483142,0.6548858722828436,0.5987518248157546,0.9608848690986633,0.0,0.0,0.0,15.075182268475256,0.33594519719561317,0.4816454156780755,0.6436781608743559,0.012616259863311385,-0.04660777421853146
hmtl,0.8534164643931926,0.7283196616973774,0.6529572874246059,0.6453595990342861,0.9800633192062378,0.799163179916318,0.899581589958159,0.9497907949790795,,,,,0.0,0.0
