size_ratio,n_datasets,mean_delta_rmse,std_delta_rmse,p_ttest_greater_rmse,p_wilcoxon_greater_rmse,mean_delta_r_auc_mse,std_delta_r_auc_mse,p_ttest_greater_r_auc_mse,p_wilcoxon_greater_r_auc_mse
0.2,1,0.04089381545135318,0.0,,0.5,-0.005907899912756608,0.0,,1.0
0.4,1,0.06814112920943072,0.0,,0.5,0.008978574605776897,0.0,,0.5
0.6,1,0.07555968832277624,0.0,,0.5,0.013322088552999411,0.0,,0.5
0.8,1,0.06757312641534,0.0,,0.5,0.01112358707994999,0.0,,0.5
1.0,1,0.09019509817673543,0.0,,0.5,0.01635782341069308,0.0,,0.5
