Model,RMSE,MSE,MAE,R-AUC MSE,Mean Uncertainty,Coverage@80,Coverage@90,Coverage@95,Rejection Ratio (%),Rejection AUC,F-Beta AUC,F-Beta@95
single_mlp,0.8598861215536457,0.7394041420405713,0.6556174369014053,0.6791989903727177,1.036949872970581,0.0,0.0,0.0,8.614880418011406,0.34787919249597254,0.46897392001437627,0.6551724137479191
flat_mtl,0.901977667008197,0.8135637117815501,0.6834544685692581,0.7810627277395513,1.1101570129394531,0.0,0.0,0.0,7.413547045020312,0.3861909389865303,0.4437027506554834,0.6609195401847008
catboost,0.7810283923702019,0.6100053496883822,0.5581417116745364,0.36161517225972173,0.137196199862295,0.803347280334728,0.899581589958159,0.9539748953974896,30.049789068792656,0.23775272382874346,0.5961008239388719,0.6781609194950455
