Model,RMSE,MSE,MAE,R-AUC MSE,Mean Uncertainty,Coverage@80,Coverage@90,Coverage@95,Rejection Ratio (%),Rejection AUC,F-Beta AUC,F-Beta@95,ΔRMSE_vs_HMTL,ΔR-AUC_vs_HMTL
single_mlp,1.4217836792141565,2.0214688304797437,1.1983421354389971,1.8153850423727513,1.2895842790603638,0.0,0.0,0.0,25.94464700580284,0.8654339720033372,0.4922115532671944,0.6895880635292583,1.1149624928844601,1.7869029120888076
flat_mtl,0.3570867575334965,0.12751095240578614,0.2219525338648669,0.030484111328758716,0.29108867049217224,0.0,0.0,0.0,75.93069780622174,0.023840637552491273,0.6353154277648754,0.6837495945055799,0.0502655712038001,0.0020019810448149676
catboost,0.391340723074255,0.15314756153628073,0.26845114515876334,0.04207031739743565,0.16014274065309295,0.8000940733772343,0.9002822201317028,0.9501411100658513,77.44710550365247,0.030844604828783786,0.6353182412505388,0.6843983132859887,0.08451953674455859,0.013588187113491901
hmtl,0.3068211863296964,0.09413924038076227,0.20513455010819567,0.02848213028394375,0.44640740752220154,0.7996237064910631,0.8998118532455315,0.9501411100658513,70.90630243229475,0.020696397105194494,0.6168878938948982,0.6811547193839451,0.0,0.0
