size_ratio,n_datasets,mean_delta_rmse,std_delta_rmse,p_ttest_greater_rmse,p_wilcoxon_greater_rmse,mean_delta_r_auc_mse,std_delta_r_auc_mse,p_ttest_greater_r_auc_mse,p_wilcoxon_greater_r_auc_mse
0.2,16,-0.05760159692034412,0.0979458582779523,0.9836369693615882,0.9583740234375,-0.05825173591848583,0.2902464178819104,0.7826837981102328,0.99224853515625
0.4,17,-0.05480296719792333,0.10386992841785497,0.9775318543999623,0.9883880615234375,-0.14449324235910097,0.271328467835332,0.9783982348116103,0.9984207153320312
0.6,18,-0.027705656788712053,0.15161878407265922,0.7755839632548714,0.8939285278320312,-0.14171241029318404,0.18294270046778843,0.9978222535617937,0.9993553161621094
0.8,18,-0.045937191702647685,0.14932852111799969,0.8953828270019205,0.86773681640625,-0.1403773378752843,0.3001626497096838,0.9681882433709844,0.989593505859375
1.0,18,-0.042998280757948835,0.13959446200163803,0.8956634434515085,0.9458084106445312,-0.09685046347954183,0.15991516256106686,0.9900527248398706,0.9881629943847656
